steamid,personaname,loccountrycode,recent_playtime_hours,profileurl,two_weeks
76561198040813882,Lino,US,33.55,https://steamcommunity.com/id/LinoMMXVIII/,36.17
76561198239527272,Taiga,CN,0.0,https://steamcommunity.com/id/Virus288/,13.95
76561198430630341,DeoGOD,CA,0.0,https://steamcommunity.com/id/TODOKETEHAHAURMOM/,116.03
76561199192119659,chinese-communist.bandit.gg,,0.0,https://steamcommunity.com/profiles/76561199192119659/,63.28
76561199466446945,[] (not a :3 user) :3,CA,0.0,https://steamcommunity.com/profiles/76561199466446945/,18.45
76561199319742752,-Sewn-,,0.0,https://steamcommunity.com/id/-Sewn-/,21.65
76561198881483295,DeadlyDuck,,0.0,https://steamcommunity.com/profiles/76561198881483295/,33.9
76561198212561273,captain cray cray,US,0.0,https://steamcommunity.com/profiles/76561198212561273/,0.0
76561199539810949,tschidererbrady,,0.0,https://steamcommunity.com/profiles/76561199539810949/,0.22
76561199151797409,BOBAN,,0.0,https://steamcommunity.com/profiles/76561199151797409/,0.0
76561198298311614,DrunkenDoctor,AU,66.22,https://steamcommunity.com/id/Drunken_Doctor/,74.05
76561198973746479,🇲 3 🇴 🇸 🇯 🇯 🇿,UA,0.0,https://steamcommunity.com/id/M3OSJJZ/,33.05
76561198143761112,Sweet Lemon Tea,US,0.0,https://steamcommunity.com/id/sweetlemontea/,64.15
76561198864934380,Vronicky,,0.0,https://steamcommunity.com/profiles/76561198864934380/,10.67
76561199162037047,J.o.t jay,,0.0,https://steamcommunity.com/profiles/76561199162037047/,26.1
76561198828719812,CodezDust,US,0.0,https://steamcommunity.com/profiles/76561198828719812/,21.13
76561198211554053,Chomesukeee,NZ,0.0,https://steamcommunity.com/id/SKUXDELUXEEE/,23.65
76561198936013498,Messarei2007,,0.0,https://steamcommunity.com/profiles/76561198936013498/,18.08
76561198078335488,ChaotiCASS,,0.0,https://steamcommunity.com/id/Cassyness/,32.08
76561199221770837,MR_Marwane,MA,0.0,https://steamcommunity.com/profiles/76561199221770837/,16.62
76561198323205068,SkyRapids,US,2.52,https://steamcommunity.com/profiles/76561198323205068/,1.23
76561199062418109,Anabolic,IT,0.0,https://steamcommunity.com/id/Shiedan/,78.97
76561199378965667,LookisDamian,,0.0,https://steamcommunity.com/profiles/76561199378965667/,0.0
76561198995963643,N07,,0.0,https://steamcommunity.com/profiles/76561198995963643/,34.97
76561199177516543,Dingle man,,0.0,https://steamcommunity.com/profiles/76561199177516543/,5.88
76561199807529097,a11se3,,0.0,https://steamcommunity.com/profiles/76561199807529097/,3.77
76561198978618957,TheycallmeVierzehne,SE,0.0,https://steamcommunity.com/id/vierzehne/,0.78
76561198183921799,TH3BAK3DT8TR,US,0.0,https://steamcommunity.com/profiles/76561198183921799/,0.0
76561198148119372,Tsatzuboiii,NO,0.0,https://steamcommunity.com/profiles/76561198148119372/,49.83
76561199215797133,НОСАТЫЙ,RU,0.0,https://steamcommunity.com/id/Theodorqqwewefz/,35.85
76561198311817928,xXxMinecraftGamerxXx,US,0.0,https://steamcommunity.com/profiles/76561198311817928/,62.28
76561198361474774,beE moviE,GR,0.0,https://steamcommunity.com/profiles/76561198361474774/,59.08
76561199113066845,Lamar,NO,0.0,https://steamcommunity.com/profiles/76561199113066845/,66.92
76561199071516276,Jual,,0.0,https://steamcommunity.com/profiles/76561199071516276/,176.43
76561199268007825,OnceNoTroubleKris,,0.0,https://steamcommunity.com/profiles/76561199268007825/,0.0
76561198846201734,Hex,,0.0,https://steamcommunity.com/profiles/76561198846201734/,46.38
76561199033801606,L'wolfRT,,0.0,https://steamcommunity.com/profiles/76561199033801606/,0.0
76561198951798794,Steel Crow,,0.0,https://steamcommunity.com/id/noah_hattingh/,14.78
76561198273222805,Stardust,US,0.0,https://steamcommunity.com/id/MothIsManic/,0.0
76561198881395768,Hollow Kane,,0.0,https://steamcommunity.com/id/hollowkane/,0.0
76561199708557098,Bulletdrop,,0.0,https://steamcommunity.com/profiles/76561199708557098/,16.23
76561198260766521,Sipe,,0.0,https://steamcommunity.com/id/zSipe/,9.85
76561199228880344,astral,,0.0,https://steamcommunity.com/profiles/76561199228880344/,10.92
